Family	Genome Size
Abyssoviridae	37950.0
Ackermannviridae	153649.99999999997
Adamaviridae	2900.0
Adenoviridae	36500.0
Aggregaviridae	43150.00000000001
Ahmunviridae	41550.0
Ahpuchviridae	71050.0
Aliceevansviridae	38850.0
Alisviridae	34250.0
Aliusviridae	12550.0
Alloherpesviridae	214700.0
Allomimiviridae	638850.0
Alphaflexiviridae	7150.0
Alphagokushoviridae	5150.0
Alphaormycoviridae	4500.0
Alphasatellitidae	1250.0
Alphatetraviridae	7300.0
Alternaviridae	9650.0
Altumviridae	52000.0
Alvernaviridae	4350.0
Amalgaviridae	3150.0
Ambiguiviridae	5000.0
Amesuviridae	3100.0
Amnoonviridae	10350.000000000002
Ampullaviridae	25550.0
Anaerodiviridae	37150.00000000001
Anamaviridae	46800.0
Andersonviridae	85199.99999999999
Anelloviridae	2850.0
Anicreviridae	2200.0
Aoguangviridae	92250.0
Apasviridae	108250.0
Arenaviridae	13549.999999999998
Arenbergviridae	286750.0
Armatusviridae	51150.00000000001
Arteriviridae	14250.0
Artiviridae	7500.0
Artoviridae	11500.0
Ascoviridae	159550.0
Asemoviridae	10300.0
Asfarviridae	182000.0
Aspiviridae	11550.0
Assalcaviridae	41950.0
Assiduviridae	55400.0
Astroviridae	6949.999999999999
Atkinsviridae	4000.0
Autolykiviridae	10350.0
Autonotataviridae	37850.0
Autoscriptoviridae	42450.0
Autosignataviridae	42800.0
Autotranscriptaviridae	38250.0
Avsunviroidae	350.0
Bacilladnaviridae	4700.0
Baculoviridae	130250.0
Barnaviridae	4050.0
Bartogtaviriformidae	
Basaltiviridae	13600.0
Belpaoviridae	6900.0
Benyviridae	13600.0
Berryhillviridae	48950.0
Betaflexiviridae	7950.0
Betagokushoviridae	4550.0
Betaormycoviridae	4300.0
Bicaudaviridae	62750.0
Bidnaviridae	12550.0
Birnaviridae	6200.0
Blefusviridae	34550.0
Blumeviridae	4300.000000000001
Bornaviridae	9899.999999999998
Botourmiaviridae	3400.0000000000005
Botybirnaviridae	11750.0
Brachygtaviriformidae	
Bromoviridae	8300.0
Buchnerviridae	49900.0
Burtonviroviridae	29750.0
Caliciviridae	7350.000000000001
Carmotetraviridae	6150.0
Casidaviridae	45300.0
